country_code	continent	country	date	total_cases	new_cases	total_deaths	new_deaths	total_cases_per_million	new_cases_per_million	total_deaths_per_million	new_deaths_per_million
CHE	Europe	Switzerland	1/30/2021	521320	0	9370	16	60236.05	0	1082.659	1.849
SYR	Asia	Syria	1/30/2021	13998	54	916	5	799.856	3.086	52.341	0.286
TWN	Asia	Taiwan	1/30/2021	909	10	8	1	38.166	0.42	0.336	0.042
TJK	Asia	Tajikistan	1/30/2021	13308	0	90	0	1395.313	0	9.436	0
TZA	Africa	Tanzania	1/30/2021	509	0	21	0	8.521	0	0.352	0
THA	Asia	Thailand	1/30/2021	18782	829	77	0	269.083	11.877	1.103	0
TLS	Asia	Timor	1/30/2021	70	1			53.093	0.758		
TGO	Africa	Togo	1/30/2021	5041	119	77	1	608.909	14.374	9.301	0.121
TTO	North America	Trinidad and Tobago	1/30/2021	7542	9	134	0	5389.102	6.431	95.749	0
TUN	Africa	Tunisia	1/30/2021	207468	1438	6680	81	17554.337	121.672	565.21	6.854
TUR	Asia	Turkey	1/30/2021	2470901	6871	25865	129	29297.229	81.469	306.679	1.53
UGA	Africa	Uganda	1/30/2021	39533	43	324	0	864.279	0.94	7.083	0
UKR	Europe	Ukraine	1/30/2021	1258093	4966	23769	159	28767.09	113.551	543.493	3.636
ARE	Asia	United Arab Emirates	1/30/2021	300661	3647	838	12	30399.276	368.741	84.729	1.213
GBR	Europe	United Kingdom	1/30/2021	3806993	23400	105777	1205	56079.203	344.695	1558.156	17.75
USA	North America	United States	1/30/2021	26074885	142091	439530	2731	78775.458	429.275	1327.875	8.251
URY	South America	Uruguay	1/30/2021	41181	652	431	6	11854.99	187.695	124.074	1.727
UZB	Asia	Uzbekistan	1/30/2021	78711	109	621	0	2351.744	3.257	18.554	0
VUT	Oceania	Vanuatu	1/30/2021	1	0			3.256	0		
VAT	Europe	Vatican	1/30/2021	27	0			33374.536	0		
VEN	South America	Venezuela	1/30/2021	126323	547	1183	6	4442.371	19.236	41.602	0.211
VNM	Asia	Vietnam	1/30/2021	1767	110	35	0	18.153	1.13	0.36	0
OWID_WRL		World	1/30/2021	102016862	514596	2208389	13523	13087.812	66.018	283.316	1.735
YEM	Asia	Yemen	1/30/2021	2120	0	615	0	71.079	0	20.62	0
ZMB	Africa	Zambia	1/30/2021	53352	1728	745	17	2902.096	93.995	40.524	0.925
ZWE	Africa	Zimbabwe	1/30/2021	33273	321	1193	15	2238.657	21.597	80.267	1.009
